trial_id,seed,scenario,warm_start_scale,shrunk_size,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,ci_width,relative_error
404,3199276,subset,0,25,25,25,19,25,true,6,0.0000
405,3207195,subset,0,25,25,25,19,25,true,6,0.0000
406,3215114,subset,0,25,25,25,19,25,true,6,0.0000
407,3223033,subset,0,25,25,25,19,25,true,6,0.0000
408,3230952,subset,0,25,25,25,19,25,true,6,0.0000
409,3238871,subset,0,25,25,25,19,25,true,6,0.0000
410,3246790,subset,0,25,25,25,19,25,true,6,0.0000
411,3254709,subset,0,25,25,25,19,25,true,6,0.0000
412,3262628,subset,0,25,25,25,19,25,true,6,0.0000
413,3270547,subset,0,25,25,25,19,25,true,6,0.0000
414,3278466,subset,0,25,25,25,19,25,true,6,0.0000
415,3286385,subset,0,25,25,25,19,25,true,6,0.0000
416,3294304,subset,0,25,25,25,19,25,true,6,0.0000
417,3302223,subset,0,25,25,25,19,25,true,6,0.0000
418,3310142,subset,0,25,25,25,19,25,true,6,0.0000
419,3318061,subset,0,25,25,25,19,25,true,6,0.0000
420,3325980,subset,0,25,25,25,19,25,true,6,0.0000
421,3333899,subset,0,25,25,25,19,25,true,6,0.0000
422,3341818,subset,0,25,25,25,19,25,true,6,0.0000
423,3349737,subset,0,25,25,25,19,25,true,6,0.0000
424,3357656,subset,0,25,25,25,19,25,true,6,0.0000
425,3365575,subset,0,25,25,25,19,25,true,6,0.0000
426,3373494,subset,0,25,25,25,19,25,true,6,0.0000
427,3381413,subset,0,25,25,25,19,25,true,6,0.0000
428,3389332,subset,0,25,25,25,19,25,true,6,0.0000
429,3397251,subset,0,25,25,25,19,25,true,6,0.0000
430,3405170,subset,0,25,25,25,19,25,true,6,0.0000
431,3413089,subset,0,25,25,25,19,25,true,6,0.0000
432,3421008,subset,0,25,25,25,19,25,true,6,0.0000
433,3428927,subset,0,25,25,25,19,25,true,6,0.0000
434,3436846,subset,0,25,25,25,19,25,true,6,0.0000
435,3444765,subset,0,25,25,25,19,25,true,6,0.0000
436,3452684,subset,0,25,25,25,19,25,true,6,0.0000
437,3460603,subset,0,25,25,25,19,25,true,6,0.0000
438,3468522,subset,0,25,25,25,19,25,true,6,0.0000
439,3476441,subset,0,25,25,25,19,25,true,6,0.0000
440,3484360,subset,0,25,25,25,19,25,true,6,0.0000
441,3492279,subset,0,25,25,25,19,25,true,6,0.0000
442,3500198,subset,0,25,25,25,19,25,true,6,0.0000
443,3508117,subset,0,25,25,25,19,25,true,6,0.0000
444,3516036,subset,0,25,25,25,19,25,true,6,0.0000
445,3523955,subset,0,25,25,25,19,25,true,6,0.0000
446,3531874,subset,0,25,25,25,19,25,true,6,0.0000
447,3539793,subset,0,25,25,25,19,25,true,6,0.0000
448,3547712,subset,0,25,25,25,19,25,true,6,0.0000
449,3555631,subset,0,25,25,25,19,25,true,6,0.0000
450,3563550,subset,0,25,25,25,19,25,true,6,0.0000
451,3571469,subset,0,25,25,25,19,25,true,6,0.0000
452,3579388,subset,0,25,25,25,19,25,true,6,0.0000
453,3587307,subset,0,25,25,25,19,25,true,6,0.0000
454,3595226,subset,0,25,25,25,19,25,true,6,0.0000
455,3603145,subset,0,25,25,25,19,25,true,6,0.0000
456,3611064,subset,0,25,25,25,19,25,true,6,0.0000
457,3618983,subset,0,25,25,25,19,25,true,6,0.0000
458,3626902,subset,0,25,25,25,19,25,true,6,0.0000
