trial_id,seed,map_type,base_size,reported_size,actual_distinct_values,size_ratio,elapsed_micros
209,1655071,surjective_10to1,100,70,10,7.000000,794
210,1662990,surjective_10to1,100,70,10,7.000000,591
211,1670909,surjective_10to1,100,70,10,7.000000,616
212,1678828,surjective_10to1,100,70,10,7.000000,683
213,1686747,surjective_10to1,100,70,10,7.000000,598
214,1694666,surjective_10to1,100,70,10,7.000000,592
215,1702585,surjective_10to1,100,70,10,7.000000,594
216,1710504,surjective_10to1,100,70,10,7.000000,598
217,1718423,surjective_10to1,100,70,10,7.000000,653
218,1726342,surjective_10to1,100,70,10,7.000000,600
219,1734261,surjective_10to1,100,70,10,7.000000,600
220,1742180,surjective_10to1,100,70,10,7.000000,631
221,1750099,surjective_10to1,100,70,10,7.000000,592
222,1758018,surjective_10to1,100,70,10,7.000000,640
223,1765937,surjective_10to1,100,70,10,7.000000,590
224,1773856,surjective_10to1,100,70,10,7.000000,592
225,1781775,surjective_10to1,100,70,10,7.000000,593
226,1789694,surjective_10to1,100,70,10,7.000000,634
227,1797613,surjective_10to1,100,70,10,7.000000,613
228,1805532,surjective_10to1,100,70,10,7.000000,593
229,1813451,surjective_10to1,100,70,10,7.000000,596
230,1821370,surjective_10to1,100,70,10,7.000000,596
231,1829289,surjective_10to1,100,70,10,7.000000,665
232,1837208,surjective_10to1,100,70,10,7.000000,597
233,1845127,surjective_10to1,100,70,10,7.000000,592
234,1853046,surjective_10to1,100,70,10,7.000000,603
235,1860965,surjective_10to1,100,70,10,7.000000,627
236,1868884,surjective_10to1,100,70,10,7.000000,662
237,1876803,surjective_10to1,100,70,10,7.000000,591
238,1884722,surjective_10to1,100,70,10,7.000000,586
239,1892641,surjective_10to1,100,70,10,7.000000,614
240,1900560,surjective_10to1,100,70,10,7.000000,589
241,1908479,surjective_10to1,100,70,10,7.000000,636
242,1916398,surjective_10to1,100,70,10,7.000000,587
243,1924317,surjective_10to1,100,70,10,7.000000,584
244,1932236,surjective_10to1,100,70,10,7.000000,652
245,1940155,surjective_10to1,100,70,10,7.000000,694
246,1948074,surjective_10to1,100,70,10,7.000000,616
247,1955993,surjective_10to1,100,70,10,7.000000,610
248,1963912,surjective_10to1,100,70,10,7.000000,631
249,1971831,surjective_10to1,100,70,10,7.000000,616
250,1979750,surjective_10to1,100,70,10,7.000000,671
251,1987669,surjective_10to1,100,70,10,7.000000,617
252,1995588,surjective_10to1,100,70,10,7.000000,614
253,2003507,surjective_10to1,100,70,10,7.000000,613
254,2011426,surjective_10to1,100,70,10,7.000000,610
255,2019345,surjective_10to1,100,70,10,7.000000,680
256,2027264,surjective_10to1,100,70,10,7.000000,603
257,2035183,surjective_10to1,100,70,10,7.000000,606
258,2043102,surjective_10to1,100,70,10,7.000000,606
259,2051021,surjective_10to1,100,70,10,7.000000,674
260,2058940,surjective_10to1,100,70,10,7.000000,608
261,2066859,surjective_10to1,100,70,10,7.000000,619
262,2074778,surjective_10to1,100,70,10,7.000000,589
263,2082697,surjective_10to1,100,70,10,7.000000,585
264,2090616,surjective_10to1,100,70,10,7.000000,647
265,2098535,surjective_10to1,100,70,10,7.000000,600
266,2106454,surjective_10to1,100,70,10,7.000000,609
267,2114373,surjective_10to1,100,70,10,7.000000,596
268,2122292,surjective_10to1,100,70,10,7.000000,606
269,2130211,surjective_10to1,100,70,10,7.000000,660
270,2138130,surjective_10to1,100,70,10,7.000000,599
271,2146049,surjective_10to1,100,70,10,7.000000,583
272,2153968,surjective_10to1,100,70,10,7.000000,585
273,2161887,surjective_10to1,100,70,10,7.000000,586
274,2169806,surjective_10to1,100,70,10,7.000000,654
275,2177725,surjective_10to1,100,70,10,7.000000,585
276,2185644,surjective_10to1,100,70,10,7.000000,584
