trial_id,seed,algorithm,start_value,threshold,budget,final_value,distance,attempts_used,converged,rejections
506,4007014,random-100,100,10,1000,10,0,14,1,13
507,4014933,random-100,100,10,1000,10,0,100,1,98
508,4022852,random-100,100,10,1000,10,0,100,1,98
509,4030771,random-100,100,10,1000,10,0,106,1,104
510,4038690,random-100,100,10,1000,10,0,9,1,8
511,4046609,random-100,100,10,1000,10,0,12,1,11
512,4054528,random-100,100,10,1000,10,0,101,1,99
513,4062447,random-100,100,10,1000,10,0,15,1,14
514,4070366,random-100,100,10,1000,10,0,12,1,11
515,4078285,random-100,100,10,1000,10,0,102,1,100
516,4086204,random-100,100,10,1000,10,0,109,1,107
517,4094123,random-100,100,10,1000,10,0,8,1,7
518,4102042,random-100,100,10,1000,10,0,11,1,10
519,4109961,random-100,100,10,1000,10,0,11,1,10
520,4117880,random-100,100,10,1000,10,0,11,1,10
521,4125799,random-100,100,10,1000,10,0,11,1,10
522,4133718,random-100,100,10,1000,10,0,12,1,11
523,4141637,random-100,100,10,1000,10,0,8,1,7
524,4149556,random-100,100,10,1000,10,0,98,1,96
525,4157475,random-100,100,10,1000,10,0,97,1,95
526,4165394,random-100,100,10,1000,10,0,12,1,11
527,4173313,random-100,100,10,1000,10,0,105,1,103
528,4181232,random-100,100,10,1000,10,0,15,1,14
529,4189151,random-100,100,10,1000,10,0,10,1,9
530,4197070,random-100,100,10,1000,10,0,13,1,12
531,4204989,random-100,100,10,1000,10,0,108,1,106
532,4212908,random-100,100,10,1000,10,0,11,1,10
