trial_id,seed,bug_type,sampling_mode,bug_detected,detected_by_corner_case,tests_run,corner_cases_used,elapsed_micros
302,2391538,zero_boundary,corner_only,true,,1,3,4
303,2399457,zero_boundary,corner_only,true,,1,3,1
304,2407376,zero_boundary,corner_only,true,,1,3,1
305,2415295,zero_boundary,corner_only,true,,1,3,1
306,2423214,zero_boundary,corner_only,true,,1,3,1
307,2431133,zero_boundary,corner_only,true,,1,3,1
308,2439052,zero_boundary,corner_only,true,,1,3,1
309,2446971,zero_boundary,corner_only,true,,1,3,1
310,2454890,zero_boundary,corner_only,true,,1,3,1
311,2462809,zero_boundary,corner_only,true,,1,3,1
312,2470728,zero_boundary,corner_only,true,,1,3,1
313,2478647,zero_boundary,corner_only,true,,1,3,1
314,2486566,zero_boundary,corner_only,true,,1,3,1
315,2494485,zero_boundary,corner_only,true,,1,3,1
316,2502404,zero_boundary,corner_only,true,,1,3,1
317,2510323,zero_boundary,corner_only,true,,1,3,1
318,2518242,zero_boundary,corner_only,true,,1,3,1
319,2526161,zero_boundary,corner_only,true,,1,3,1
320,2534080,zero_boundary,corner_only,true,,1,3,1
321,2541999,zero_boundary,corner_only,true,,1,3,1
322,2549918,zero_boundary,corner_only,true,,1,3,1
323,2557837,zero_boundary,corner_only,true,,1,3,1
324,2565756,zero_boundary,corner_only,true,,1,3,1
325,2573675,zero_boundary,corner_only,true,,1,3,1
326,2581594,zero_boundary,corner_only,true,,1,3,1
327,2589513,zero_boundary,corner_only,true,,1,3,1
328,2597432,zero_boundary,corner_only,true,,1,3,1
329,2605351,zero_boundary,corner_only,true,,1,3,1
330,2613270,zero_boundary,corner_only,true,,1,3,1
331,2621189,zero_boundary,corner_only,true,,1,3,1
332,2629108,zero_boundary,corner_only,true,,1,3,1
333,2637027,zero_boundary,corner_only,true,,1,3,1
334,2644946,zero_boundary,corner_only,true,,1,3,1
335,2652865,zero_boundary,corner_only,true,,1,3,1
336,2660784,zero_boundary,corner_only,true,,1,3,4
337,2668703,zero_boundary,corner_only,true,,1,3,1
338,2676622,zero_boundary,corner_only,true,,1,3,1
339,2684541,zero_boundary,corner_only,true,,1,3,1
340,2692460,zero_boundary,corner_only,true,,1,3,1
341,2700379,zero_boundary,corner_only,true,,1,3,1
342,2708298,zero_boundary,corner_only,true,,1,3,1
343,2716217,zero_boundary,corner_only,true,,1,3,1
344,2724136,zero_boundary,corner_only,true,,1,3,1
345,2732055,zero_boundary,corner_only,true,,1,3,1
346,2739974,zero_boundary,corner_only,true,,1,3,1
347,2747893,zero_boundary,corner_only,true,,1,3,1
348,2755812,zero_boundary,corner_only,true,,1,3,1
349,2763731,zero_boundary,corner_only,true,,1,3,1
350,2771650,zero_boundary,corner_only,true,,1,3,1
351,2779569,zero_boundary,corner_only,true,,1,3,1
352,2787488,zero_boundary,corner_only,true,,1,3,1
353,2795407,zero_boundary,corner_only,true,,1,3,1
354,2803326,zero_boundary,corner_only,true,,1,3,1
355,2811245,zero_boundary,corner_only,true,,1,3,1
356,2819164,zero_boundary,corner_only,true,,1,3,1
357,2827083,zero_boundary,corner_only,true,,1,3,1
358,2835002,zero_boundary,corner_only,true,,1,3,1
359,2842921,zero_boundary,corner_only,true,,1,3,1
360,2850840,zero_boundary,corner_only,true,,1,3,1
361,2858759,zero_boundary,corner_only,true,,1,3,1
362,2866678,zero_boundary,corner_only,true,,1,3,1
363,2874597,zero_boundary,corner_only,true,,1,3,1
364,2882516,zero_boundary,corner_only,true,,1,3,1
365,2890435,zero_boundary,corner_only,true,,1,3,1
366,2898354,zero_boundary,corner_only,true,,1,3,1
367,2906273,zero_boundary,corner_only,true,,1,3,1
368,2914192,zero_boundary,corner_only,true,,1,3,1
369,2922111,zero_boundary,corner_only,true,,1,3,3
370,2930030,zero_boundary,corner_only,true,,1,3,1
371,2937949,zero_boundary,corner_only,true,,1,3,1
372,2945868,zero_boundary,corner_only,true,,1,3,1
373,2953787,zero_boundary,corner_only,true,,1,3,1
374,2961706,zero_boundary,corner_only,true,,1,3,1
375,2969625,zero_boundary,corner_only,true,,1,3,3
376,2977544,zero_boundary,corner_only,true,,1,3,1
377,2985463,zero_boundary,corner_only,true,,1,3,1
378,2993382,zero_boundary,corner_only,true,,1,3,1
379,3001301,zero_boundary,corner_only,true,,1,3,1
380,3009220,zero_boundary,corner_only,true,,1,3,1
381,3017139,zero_boundary,corner_only,true,,1,3,1
382,3025058,zero_boundary,corner_only,true,,1,3,1
383,3032977,zero_boundary,corner_only,true,,1,3,1
384,3040896,zero_boundary,corner_only,true,,1,3,1
385,3048815,zero_boundary,corner_only,true,,1,3,1
386,3056734,zero_boundary,corner_only,true,,1,3,1
387,3064653,zero_boundary,corner_only,true,,1,3,1
388,3072572,zero_boundary,corner_only,true,,1,3,1
389,3080491,zero_boundary,corner_only,true,,1,3,1
390,3088410,zero_boundary,corner_only,true,,1,3,1
391,3096329,zero_boundary,corner_only,true,,1,3,5
392,3104248,zero_boundary,corner_only,true,,1,3,1
393,3112167,zero_boundary,corner_only,true,,1,3,1
