trial_id,seed,quantifier_order,initial_a,initial_b,initial_c,final_a,final_b,final_c,elapsed_micros
206,1631314,bac,90,61,50,54,0,97,18558
207,1639233,bac,75,73,34,53,0,99,12284
208,1647152,bac,91,81,13,52,0,99,26037
209,1655071,bac,49,74,88,52,0,99,15435
210,1662990,bac,92,78,3,54,0,98,24276
211,1670909,bac,95,89,46,53,0,98,26190
212,1678828,bac,72,29,53,52,0,99,21413
213,1686747,bac,67,12,84,53,0,100,25614
214,1694666,bac,95,3,100,56,0,95,25838
215,1702585,bac,2,76,82,52,0,99,17271
216,1710504,bac,19,45,92,54,0,97,23735
217,1718423,bac,70,18,92,53,0,98,21322
218,1726342,bac,64,26,92,52,0,99,26125
219,1734261,bac,41,81,77,54,0,97,26197
220,1742180,bac,16,69,80,51,0,100,22212
221,1750099,bac,89,6,74,53,0,98,15555
222,1758018,bac,84,0,69,51,0,100,18070
223,1765937,bac,83,50,47,56,0,95,14207
224,1773856,bac,74,33,44,51,0,100,24805
225,1781775,bac,35,65,86,57,0,94,15832
226,1789694,bac,60,68,74,56,0,95,11696
227,1797613,bac,88,1,67,60,0,91,12626
228,1805532,bac,72,10,91,53,0,98,14897
229,1813451,bac,67,35,80,61,0,91,11958
230,1821370,bac,63,81,67,51,0,100,24816
231,1829289,bac,81,18,92,52,0,99,18397
232,1837208,bac,26,39,92,53,0,98,25938
233,1845127,bac,87,27,80,53,0,99,20564
234,1853046,bac,43,29,90,54,0,97,23714
235,1860965,bac,25,71,91,51,0,100,25339
236,1868884,bac,33,38,99,52,0,100,23787
237,1876803,bac,58,25,83,54,0,97,26050
238,1884722,bac,82,51,39,53,0,98,14994
239,1892641,bac,17,92,62,53,0,99,22870
240,1900560,bac,35,60,61,54,0,98,26180
241,1908479,bac,72,51,79,57,0,94,18988
242,1916398,bac,77,67,56,54,0,98,26048
243,1924317,bac,27,48,90,53,0,99,14607
244,1932236,bac,79,42,58,51,0,100,18019
245,1940155,bac,71,35,65,53,0,98,20569
246,1948074,bac,68,89,95,55,0,96,16994
247,1955993,bac,67,81,25,52,0,99,23943
248,1963912,bac,86,8,58,53,0,98,19487
249,1971831,bac,75,34,82,52,0,99,17063
250,1979750,bac,71,25,98,52,0,99,21742
251,1987669,bac,7,97,60,53,0,98,25443
252,1995588,bac,81,13,62,54,0,98,16979
253,2003507,bac,36,57,79,51,0,100,15899
254,2011426,bac,95,33,32,55,0,99,14653
255,2019345,bac,21,53,87,53,0,98,18760
256,2027264,bac,98,19,41,54,0,98,21073
257,2035183,bac,53,33,80,52,0,99,20931
258,2043102,bac,88,10,83,55,0,100,17210
259,2051021,bac,67,38,50,52,0,99,26431
260,2058940,bac,99,9,64,51,0,100,25952
261,2066859,bac,30,79,57,53,0,98,25978
262,2074778,bac,97,4,98,51,0,100,16312
263,2082697,bac,82,100,98,52,0,99,25676
264,2090616,bac,52,24,86,52,0,99,16963
265,2098535,bac,67,38,49,53,0,99,17907
266,2106454,bac,76,29,66,56,0,96,14401
267,2114373,bac,61,73,78,54,0,97,18418
268,2122292,bac,73,78,50,52,0,99,17684
269,2130211,bac,28,41,84,53,0,98,20444
270,2138130,bac,55,77,82,56,0,95,20505
271,2146049,bac,86,39,58,54,0,97,18447
272,2153968,bac,79,83,33,52,0,99,22288
273,2161887,bac,41,59,59,53,0,98,25739
274,2169806,bac,54,60,60,52,0,99,22677
275,2177725,bac,91,78,16,53,0,98,22935
276,2185644,bac,62,57,44,53,0,98,18802
277,2193563,bac,82,46,41,51,0,100,18085
278,2201482,bac,98,15,63,53,0,99,25486
279,2209401,bac,84,9,92,57,0,94,14415
280,2217320,bac,97,18,96,52,0,99,25813
281,2225239,bac,64,56,87,51,0,100,26973
282,2233158,bac,43,91,49,53,0,98,26776
283,2241077,bac,83,96,31,52,0,99,25395
284,2248996,bac,61,57,47,52,0,99,26110
285,2256915,bac,58,76,18,52,0,99,22341
286,2264834,bac,65,49,95,52,0,99,17070
287,2272753,bac,90,88,87,53,0,98,25956
288,2280672,bac,30,46,80,52,0,99,24504
289,2288591,bac,58,10,85,61,0,90,14215
290,2296510,bac,82,44,49,53,0,98,26312
291,2304429,bac,33,51,74,58,0,94,13960
292,2312348,bac,50,43,72,55,0,96,18879
293,2320267,bac,45,17,91,53,0,98,19993
294,2328186,bac,15,52,85,53,0,99,20526
295,2336105,bac,76,60,46,53,0,99,25676
296,2344024,bac,72,92,80,54,0,97,18840
297,2351943,bac,73,75,78,55,0,96,14646
298,2359862,bac,68,23,70,52,0,100,25350
299,2367781,bac,78,35,84,54,0,97,18654
300,2375700,bac,54,100,92,52,0,99,25552
301,2383619,bac,82,48,60,51,0,100,25464
