trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,warmup_samples,relative_error
339,2684541,filter_10pct,100,96,86.00,108.00,22.00,true,200,0.040000
340,2692460,filter_10pct,100,105,94.00,117.00,23.00,true,200,0.050000
341,2700379,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
342,2708298,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
343,2716217,filter_10pct,100,105,93.00,117.00,24.00,true,200,0.050000
344,2724136,filter_10pct,100,98,87.00,109.00,22.00,true,200,0.020000
345,2732055,filter_10pct,100,93,83.00,104.00,21.00,true,200,0.070000
346,2739974,filter_10pct,100,95,85.00,106.00,21.00,true,200,0.050000
347,2747893,filter_10pct,100,108,97.00,121.00,24.00,true,200,0.080000
348,2755812,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
349,2763731,filter_10pct,100,107,96.00,120.00,24.00,true,200,0.070000
350,2771650,filter_10pct,100,89,79.00,99.00,20.00,false,200,0.110000
351,2779569,filter_10pct,100,99,88.00,110.00,22.00,true,200,0.010000
352,2787488,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
353,2795407,filter_10pct,100,101,90.00,113.00,23.00,true,200,0.010000
354,2803326,filter_10pct,100,87,78.00,98.00,20.00,false,200,0.130000
355,2811245,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
356,2819164,filter_10pct,100,104,93.00,116.00,23.00,true,200,0.040000
357,2827083,filter_10pct,100,94,84.00,105.00,21.00,true,200,0.060000
358,2835002,filter_10pct,100,96,85.00,107.00,22.00,true,200,0.040000
359,2842921,filter_10pct,100,86,77.00,97.00,20.00,false,200,0.140000
360,2850840,filter_10pct,100,101,91.00,113.00,22.00,true,200,0.010000
361,2858759,filter_10pct,100,87,77.00,97.00,20.00,false,200,0.130000
362,2866678,filter_10pct,100,98,88.00,110.00,22.00,true,200,0.020000
363,2874597,filter_10pct,100,103,92.00,115.00,23.00,true,200,0.030000
