scenario,pass_rate,true_size,estimated_size,ci_lower,ci_upper,ci_width,covered,relative_error
product_independent,0.5,250000,234500,169548,311108,141560,true,0.062
product_independent,0.5,250000,319550,235500,410625,175125,true,0.2782
product_independent,0.5,250000,267208,194417,350383,155966,true,0.068832
product_independent,0.5,250000,297190,217765,385241,167476,true,0.18876
product_independent,0.5,250000,304950,224420,394706,170286,true,0.2198
product_independent,0.5,250000,316350,233240,406980,173740,true,0.2654
product_independent,0.5,250000,251968,182726,332310,149584,true,0.007872
product_independent,0.5,250000,243936,177160,321946,144786,true,0.024256
product_independent,0.5,250000,263520,191730,345630,153900,true,0.05408
product_independent,0.5,250000,345950,256695,440625,183930,false,0.3838
product_independent,0.5,250000,314548,231684,405074,173390,true,0.258192
product_independent,0.5,250000,286200,209748,372690,162942,true,0.1448
product_independent,0.5,250000,301392,221880,389572,167692,true,0.205568
product_independent,0.5,250000,276130,202030,361176,159146,true,0.10452
product_independent,0.5,250000,279400,203943,364375,160432,true,0.1176
product_independent,0.5,250000,250230,181790,328814,147024,true,0.00092
product_independent,0.5,250000,310800,228480,400680,172200,true,0.2432
product_independent,0.5,250000,264355,193000,346239,153239,true,0.05742
product_independent,0.5,250000,263340,192080,344964,152884,true,0.05336
product_independent,0.5,250000,286528,210120,372633,162513,true,0.146112
product_independent,0.5,250000,308432,226950,398724,171774,true,0.233728
product_independent,0.5,250000,269640,196940,353158,156218,true,0.07856
product_independent,0.5,250000,295848,217150,383214,166064,true,0.183392
product_independent,0.5,250000,265000,193404,347844,154440,true,0.06
product_independent,0.5,250000,278160,203350,363052,159702,true,0.11264
product_independent,0.5,250000,237060,171402,313035,141633,true,0.05176
product_independent,0.5,250000,305100,224070,394215,170145,true,0.2204
product_independent,0.5,250000,262640,191040,344712,153672,true,0.05056
product_independent,0.5,250000,276595,201978,361712,159734,true,0.10638
product_independent,0.5,250000,273280,199200,357432,158232,true,0.09312
product_independent,0.5,250000,270320,196652,353400,156748,true,0.08128
product_independent,0.5,250000,215000,154638,286426,131788,true,0.14
product_independent,0.5,250000,230868,166860,305793,138933,true,0.076528
product_independent,0.5,250000,276595,201978,361712,159734,true,0.10638
product_independent,0.5,250000,219961,158404,293764,135360,true,0.120156
product_independent,0.5,250000,326196,241763,417708,175945,true,0.304784
product_independent,0.5,250000,310750,228435,400625,172190,true,0.243
product_independent,0.5,250000,265650,194040,348168,154128,true,0.0626
product_independent,0.5,250000,271780,198314,356213,157899,true,0.08712
product_independent,0.5,250000,313760,231540,405414,173874,true,0.25504
product_independent,0.5,250000,354200,263835,451184,187349,false,0.4168
product_independent,0.5,250000,289845,211945,376267,164322,true,0.15938
product_independent,0.5,250000,231336,167270,306340,139070,true,0.074656
product_independent,0.5,250000,302701,222500,391572,169072,true,0.210804
product_independent,0.5,250000,268400,195465,351250,155785,true,0.0736
product_independent,0.5,250000,275720,201275,360242,158967,true,0.10288
product_independent,0.5,250000,316350,233240,406980,173740,true,0.2654
product_independent,0.5,250000,282720,206780,368220,161440,true,0.13088
product_independent,0.5,250000,249984,181460,329460,148000,true,0.000064
product_independent,0.5,250000,289920,212568,376040,163472,true,0.15968
product_independent,0.5,250000,286200,209748,372690,162942,true,0.1448
product_independent,0.5,250000,231336,167270,306340,139070,true,0.074656
product_independent,0.5,250000,288804,211595,375258,163663,true,0.155216
product_independent,0.5,250000,316350,233240,406980,173740,true,0.2654
product_independent,0.5,250000,299584,219862,387600,167738,true,0.198336
product_independent,0.5,250000,272800,198762,356250,157488,true,0.0912
product_independent,0.5,250000,244541,176841,323232,146391,true,0.021836
product_independent,0.5,250000,254016,184900,334084,149184,true,0.016064
product_independent,0.5,250000,218554,157210,291596,134386,true,0.125784
product_independent,0.5,250000,303696,222870,392703,169833,true,0.214784
product_independent,0.5,250000,262612,191500,343611,152111,true,0.050448
product_independent,0.5,250000,268620,196112,350910,154798,true,0.07448
product_independent,0.5,250000,241920,175440,319634,144194,true,0.03232
product_independent,0.5,250000,316400,232800,407676,174876,true,0.2656
product_independent,0.5,250000,256800,186864,337883,151019,true,0.0272
product_independent,0.5,250000,264000,192168,345625,153457,true,0.056
product_independent,0.5,250000,299575,220275,388592,168317,true,0.1983
product_independent,0.5,250000,294250,215718,381875,166157,true,0.177
product_independent,0.5,250000,289520,211680,376512,164832,true,0.15808
product_independent,0.5,250000,249480,181104,328410,147306,true,0.00208
product_independent,0.5,250000,279180,203742,364080,160338,true,0.11672
product_independent,0.5,250000,283550,207932,370266,162334,true,0.1342
product_independent,0.5,250000,316720,233580,408759,175179,true,0.26688
product_independent,0.5,250000,247904,179695,327646,147951,true,0.008384
product_independent,0.5,250000,200640,144024,269311,125287,true,0.19744
product_independent,0.5,250000,277980,203215,362806,159591,true,0.11192
product_independent,0.5,250000,297025,217156,384400,167244,true,0.1881
product_independent,0.5,250000,309468,228355,399030,170675,true,0.237872
product_independent,0.5,250000,326160,240702,418200,177498,true,0.30464
product_independent,0.5,250000,240408,174150,317322,143172,true,0.038368
product_independent,0.5,250000,245680,178500,323127,144627,true,0.01728
product_independent,0.5,250000,271890,198450,354654,156204,true,0.08756
product_independent,0.5,250000,331500,245802,423612,177810,true,0.326
product_independent,0.5,250000,280900,206116,367236,161120,true,0.1236
product_independent,0.5,250000,258940,188696,340327,151631,true,0.03576
product_independent,0.5,250000,254745,185164,333900,148736,true,0.01898
product_independent,0.5,250000,266200,194052,348125,154073,true,0.0648
product_independent,0.5,250000,343850,255420,439448,184028,false,0.3754
product_independent,0.5,250000,235440,170016,311190,141174,true,0.05824
product_independent,0.5,250000,267840,194964,350550,155586,true,0.07136
product_independent,0.5,250000,243840,176664,322399,145735,true,0.02464
product_independent,0.5,250000,269433,196445,351390,154945,true,0.077732
product_independent,0.5,250000,223713,161190,297558,136368,true,0.105148
product_independent,0.5,250000,220420,159384,293280,133896,true,0.11832
product_independent,0.5,250000,247904,179695,327646,147951,true,0.008384
product_independent,0.5,250000,294690,216090,382432,166342,true,0.17876
product_independent,0.5,250000,269640,196940,353158,156218,true,0.07856
product_independent,0.5,250000,271441,198025,355216,157191,true,0.085764
product_independent,0.5,250000,282150,205827,366875,161048,true,0.1286
product_independent,0.5,250000,288804,211595,375258,163663,true,0.155216
product_independent,0.5,250000,254016,184900,334084,149184,true,0.016064
product_independent,0.5,250000,299575,220275,388592,168317,true,0.1983
product_independent,0.5,250000,253970,184070,333560,149490,true,0.01588
product_independent,0.5,250000,289155,211820,375480,163660,true,0.15662
product_independent,0.5,250000,248160,179928,327376,147448,true,0.00736
product_independent,0.5,250000,350750,260865,447272,186407,false,0.403
product_independent,0.5,250000,305606,224500,394857,170357,true,0.222424
product_independent,0.5,250000,242525,175682,319920,144238,true,0.0299
product_independent,0.5,250000,289852,212905,376062,163157,true,0.159408
product_independent,0.5,250000,246016,178084,324900,146816,true,0.015936
product_independent,0.5,250000,230748,166762,306772,140010,true,0.077008
product_independent,0.5,250000,226746,163438,301131,137693,true,0.093016
product_independent,0.5,250000,335500,248217,428750,180533,true,0.342
