trial_id,seed,depth,true_size,estimated_size,ci_lower,ci_upper,ci_width,relative_width,true_in_ci,relative_error,oracle_lower,oracle_upper,oracle_width,true_in_oracle,width_ratio_vs_oracle
152,411788,2,2500,2162,1764.00,2550.00,786.00,0.3144,true,0.135200,2117.68,2942.22,824.53,true,0.9533
153,419707,2,2500,2496,2112.00,3021.00,909.00,0.3636,true,0.001600,2132.10,2942.45,810.35,true,1.1217
154,427626,2,2500,2256,1892.00,2704.00,812.00,0.3248,true,0.097600,2123.96,2936.54,812.58,true,0.9993
155,435545,2,2500,2850,2392.00,3355.00,963.00,0.3852,true,0.140000,2127.75,2946.36,818.61,true,1.1764
156,443464,2,2500,2703,2303.00,3248.00,945.00,0.3780,true,0.081200,2123.13,2944.91,821.78,true,1.1499
157,451383,2,2500,2550,2162.00,3080.00,918.00,0.3672,true,0.020000,2134.42,2947.72,813.29,true,1.1287
158,459302,2,2500,2397,2021.00,2912.00,891.00,0.3564,true,0.041200,2125.25,2945.25,820.01,true,1.0866
159,467221,2,2500,2450,2025.00,2916.00,891.00,0.3564,true,0.020000,2129.20,2950.00,820.79,true,1.0855
160,475140,2,2500,2600,2160.00,3078.00,918.00,0.3672,true,0.040000,2133.36,2947.36,814.00,true,1.1278
161,483059,2,2500,2548,2160.00,3078.00,918.00,0.3672,true,0.019200,2125.03,2948.15,823.12,true,1.1153
162,490978,2,2500,2744,2295.00,3233.00,938.00,0.3752,true,0.097600,2125.86,2951.43,825.57,true,1.1362
163,498897,2,2500,2550,2116.00,3025.00,909.00,0.3636,true,0.020000,2128.22,2941.81,813.59,true,1.1173
164,506816,2,2500,2300,1890.00,2754.00,864.00,0.3456,true,0.080000,2114.87,2953.32,838.45,true,1.0305
165,514735,2,2500,2650,2160.00,3132.00,972.00,0.3888,true,0.060000,2119.69,2948.33,828.64,true,1.1730
166,522654,2,2500,2548,2160.00,3021.00,861.00,0.3444,true,0.019200,2128.99,2944.60,815.61,true,1.0556
167,530573,2,2500,2550,2115.00,3024.00,909.00,0.3636,true,0.020000,2121.02,2940.00,818.98,true,1.1099
168,538492,2,2500,2550,2115.00,3024.00,909.00,0.3636,true,0.020000,2122.43,2938.11,815.69,true,1.1144
169,546411,2,2500,2652,2256.00,3192.00,936.00,0.3744,true,0.060800,2126.50,2944.70,818.20,true,1.1440
170,554330,2,2500,2805,2300.00,3245.00,945.00,0.3780,true,0.122000,2124.85,2948.18,823.33,true,1.1478
171,562249,2,2500,2695,2250.00,3186.00,936.00,0.3744,true,0.078000,2127.40,2943.72,816.33,true,1.1466
172,570168,2,2500,2448,2024.00,2915.00,891.00,0.3564,true,0.020800,2118.52,2938.42,819.91,true,1.0867
173,578087,2,2500,2438,2016.00,2907.00,891.00,0.3564,true,0.024800,2117.38,2960.44,843.07,true,1.0569
174,586006,2,2500,2601,2116.00,3025.00,909.00,0.3636,true,0.040400,2131.86,2948.81,816.95,true,1.1127
175,593925,2,2500,2964,2444.00,3416.00,972.00,0.3888,true,0.185600,2120.74,2945.80,825.06,true,1.1781
176,601844,2,2500,2254,1845.00,2700.00,855.00,0.3420,true,0.098400,2126.34,2944.22,817.88,true,1.0454
