trial_id,seed,scenario,parent_base_max,parent_true_size,parent_pass_rate,parent_est_size,parent_ci_lower,parent_ci_upper,parent_true_in_ci,parent_ci_width,shrink_value,shrunk_true_size,shrunk_pass_rate,warmup0_est_size,warmup0_ci_lower,warmup0_ci_upper,warmup0_true_in_ci,warmup0_ci_width,warmup10_est_size,warmup10_ci_lower,warmup10_ci_upper,warmup10_true_in_ci,warmup10_ci_width,warmup50_est_size,warmup50_ci_lower,warmup50_ci_upper,warmup50_true_in_ci,warmup50_ci_width,warmup100_est_size,warmup100_ci_lower,warmup100_ci_upper,warmup100_true_in_ci,warmup100_ci_width
65,514735,same_pass_rate_mod2,999,500,0.5000,552,494.00,609.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,128,96.00,159.00,true,63.00,157,136.00,177.00,false,41.00,151,135.00,166.00,false,31.00
66,522654,same_pass_rate_mod2,999,500,0.5000,547,489.00,604.00,true,115.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,140,120.00,159.00,true,39.00,137,122.00,152.00,true,30.00
67,530573,same_pass_rate_mod2,999,500,0.5000,440,390.00,493.00,false,103.00,250,125,0.5000,120,79.00,161.00,true,82.00,109,81.00,139.00,true,58.00,120,102.00,139.00,true,37.00,124,110.00,139.00,true,29.00
68,538492,same_pass_rate_mod2,999,500,0.5000,524,467.00,580.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,116,98.00,135.00,true,37.00,119,105.00,133.00,true,28.00
69,546411,same_pass_rate_mod2,999,500,0.5000,451,399.00,504.00,true,105.00,250,125,0.5000,120,79.00,161.00,true,82.00,138,105.00,170.00,true,65.00,134,114.00,153.00,true,39.00,143,128.00,158.00,false,30.00
70,554330,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,125,94.00,156.00,true,62.00,131,112.00,151.00,true,39.00,125,111.00,139.00,true,28.00
71,562249,same_pass_rate_mod2,999,500,0.5000,478,425.00,533.00,true,108.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,125,106.00,144.00,true,38.00,121,107.00,135.00,true,28.00
72,570168,same_pass_rate_mod2,999,500,0.5000,531,474.00,588.00,true,114.00,250,125,0.5000,120,79.00,161.00,true,82.00,135,102.00,166.00,true,64.00,150,129.00,169.00,false,40.00,133,118.00,147.00,true,29.00
73,578087,same_pass_rate_mod2,999,500,0.5000,519,462.00,575.00,true,113.00,250,125,0.5000,120,79.00,161.00,true,82.00,146,111.00,177.00,true,66.00,133,113.00,152.00,true,39.00,132,117.00,146.00,true,29.00
74,586006,same_pass_rate_mod2,999,500,0.5000,500,445.00,555.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,125,106.00,144.00,true,38.00,118,104.00,132.00,true,28.00
75,593925,same_pass_rate_mod2,999,500,0.5000,566,507.00,624.00,false,117.00,250,125,0.5000,120,79.00,161.00,true,82.00,103,76.00,132.00,true,56.00,127,108.00,146.00,true,38.00,142,126.00,156.00,false,30.00
76,601844,same_pass_rate_mod2,999,500,0.5000,489,434.00,544.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,109,81.00,139.00,true,58.00,122,103.00,141.00,true,38.00,126,111.00,140.00,true,29.00
77,609763,same_pass_rate_mod2,999,500,0.5000,512,455.00,567.00,true,112.00,250,125,0.5000,120,79.00,161.00,true,82.00,131,99.00,163.00,true,64.00,148,127.00,168.00,false,41.00,141,126.00,156.00,false,30.00
78,617682,same_pass_rate_mod2,999,500,0.5000,491,436.00,546.00,true,110.00,250,125,0.5000,120,79.00,161.00,true,82.00,119,89.00,150.00,true,61.00,134,114.00,153.00,true,39.00,136,121.00,151.00,true,30.00
