trial_id,seed,tests_run,bug_found,claimed_confidence,property_type,true_pass_rate,target_confidence,pass_rate_threshold,termination_reason,elapsed_micros
198,1567962,20,true,0.942354,common_failure,0.9900,0.95,0.8,bugFound,71
199,1575881,89,true,1.000000,common_failure,0.9900,0.95,0.8,bugFound,99
200,1583800,9,true,0.624190,frequent_failure,0.9500,0.95,0.8,bugFound,37
201,1591719,20,true,0.942354,frequent_failure,0.9500,0.95,0.8,bugFound,159
202,1599638,11,true,0.725122,frequent_failure,0.9500,0.95,0.8,bugFound,37
203,1607557,6,true,0.423283,frequent_failure,0.9500,0.95,0.8,bugFound,32
204,1615476,18,true,0.917134,frequent_failure,0.9500,0.95,0.8,bugFound,41
205,1623395,17,true,0.900921,frequent_failure,0.9500,0.95,0.8,bugFound,40
206,1631314,20,true,0.942354,frequent_failure,0.9500,0.95,0.8,bugFound,42
207,1639233,45,true,0.999564,frequent_failure,0.9500,0.95,0.8,bugFound,61
208,1647152,4,true,0.262720,frequent_failure,0.9500,0.95,0.8,bugFound,38
209,1655071,49,true,0.999807,frequent_failure,0.9500,0.95,0.8,bugFound,63
210,1662990,1,true,0.040000,frequent_failure,0.9500,0.95,0.8,bugFound,28
211,1670909,1,true,0.040000,frequent_failure,0.9500,0.95,0.8,bugFound,27
212,1678828,9,true,0.624190,frequent_failure,0.9500,0.95,0.8,bugFound,34
213,1686747,7,true,0.496684,frequent_failure,0.9500,0.95,0.8,bugFound,33
214,1694666,47,true,0.999710,frequent_failure,0.9500,0.95,0.8,bugFound,63
215,1702585,10,true,0.677877,frequent_failure,0.9500,0.95,0.8,bugFound,148
216,1710504,53,true,0.999915,frequent_failure,0.9500,0.95,0.8,bugFound,107
217,1718423,16,true,0.881781,frequent_failure,0.9500,0.95,0.8,bugFound,46
218,1726342,48,true,0.999764,frequent_failure,0.9500,0.95,0.8,bugFound,152
219,1734261,9,true,0.624190,frequent_failure,0.9500,0.95,0.8,bugFound,85
220,1742180,8,true,0.563792,frequent_failure,0.9500,0.95,0.8,bugFound,62
221,1750099,22,true,0.960155,frequent_failure,0.9500,0.95,0.8,bugFound,48
222,1758018,13,true,0.802088,frequent_failure,0.9500,0.95,0.8,bugFound,38
223,1765937,12,true,0.766354,frequent_failure,0.9500,0.95,0.8,bugFound,37
224,1773856,3,true,0.180800,frequent_failure,0.9500,0.95,0.8,bugFound,29
225,1781775,9,true,0.624190,frequent_failure,0.9500,0.95,0.8,bugFound,263
226,1789694,16,true,0.881781,frequent_failure,0.9500,0.95,0.8,bugFound,42
227,1797613,55,true,0.999944,frequent_failure,0.9500,0.95,0.8,bugFound,68
228,1805532,11,true,0.725122,frequent_failure,0.9500,0.95,0.8,bugFound,36
229,1813451,11,true,0.725122,frequent_failure,0.9500,0.95,0.8,bugFound,35
230,1821370,2,true,0.104000,frequent_failure,0.9500,0.95,0.8,bugFound,29
