trial_id,seed,scenario,true_size,estimated_size,ci_lower,ci_upper,true_in_ci,relative_error
336,285084,bit_pattern_even,512,526,484.00,567.00,true,0.027344
337,293003,bit_pattern_even,512,514,473.00,556.00,true,0.003906
338,300922,bit_pattern_even,512,491,451.00,532.00,true,0.041016
339,308841,bit_pattern_even,512,527,485.00,569.00,true,0.029297
340,316760,bit_pattern_even,512,514,473.00,556.00,true,0.003906
341,324679,bit_pattern_even,512,488,448.00,528.00,true,0.046875
342,332598,bit_pattern_even,512,489,449.00,529.00,true,0.044922
343,340517,bit_pattern_even,512,487,447.00,527.00,true,0.048828
344,348436,bit_pattern_even,512,496,455.00,536.00,true,0.031250
345,356355,bit_pattern_even,512,523,481.00,565.00,true,0.021484
346,364274,bit_pattern_even,512,518,476.00,560.00,true,0.011719
347,372193,bit_pattern_even,512,530,487.00,571.00,true,0.035156
348,380112,bit_pattern_even,512,499,458.00,540.00,true,0.025391
349,388031,bit_pattern_even,512,505,464.00,546.00,true,0.013672
350,395950,bit_pattern_even,512,528,486.00,570.00,true,0.031250
351,403869,bit_pattern_even,512,561,518.00,604.00,false,0.095703
352,411788,bit_pattern_even,512,491,451.00,532.00,true,0.041016
353,419707,bit_pattern_even,512,492,452.00,533.00,true,0.039063
354,427626,bit_pattern_even,512,496,455.00,536.00,true,0.031250
355,435545,bit_pattern_even,512,551,508.00,594.00,true,0.076172
356,443464,bit_pattern_even,512,484,444.00,525.00,true,0.054688
357,451383,bit_pattern_even,512,508,467.00,550.00,true,0.007813
358,459302,bit_pattern_even,512,498,457.00,539.00,true,0.027344
359,467221,bit_pattern_even,512,530,487.00,571.00,true,0.035156
360,475140,bit_pattern_even,512,480,440.00,520.00,true,0.062500
361,483059,bit_pattern_even,512,508,467.00,550.00,true,0.007813
362,490978,bit_pattern_even,512,500,459.00,541.00,true,0.023438
363,498897,bit_pattern_even,512,476,436.00,516.00,true,0.070313
364,506816,bit_pattern_even,512,502,462.00,544.00,true,0.019531
365,514735,bit_pattern_even,512,505,464.00,546.00,true,0.013672
366,522654,bit_pattern_even,512,510,468.00,551.00,true,0.003906
367,530573,bit_pattern_even,512,507,466.00,548.00,true,0.009766
368,538492,bit_pattern_even,512,522,480.00,564.00,true,0.019531
369,546411,bit_pattern_even,512,524,482.00,566.00,true,0.023438
370,554330,bit_pattern_even,512,471,431.00,511.00,false,0.080078
371,562249,bit_pattern_even,512,505,464.00,546.00,true,0.013672
372,570168,bit_pattern_even,512,513,472.00,555.00,true,0.001953
373,578087,bit_pattern_even,512,512,471.00,553.00,true,0.000000
374,586006,bit_pattern_even,512,535,492.00,577.00,true,0.044922
375,593925,bit_pattern_even,512,536,494.00,578.00,true,0.046875
376,601844,bit_pattern_even,512,532,490.00,574.00,true,0.039063
377,609763,bit_pattern_even,512,512,471.00,553.00,true,0.000000
378,617682,bit_pattern_even,512,521,479.00,562.00,true,0.017578
379,625601,bit_pattern_even,512,505,464.00,546.00,true,0.013672
380,633520,bit_pattern_even,512,519,478.00,561.00,true,0.013672
381,641439,bit_pattern_even,512,523,481.00,565.00,true,0.021484
382,649358,bit_pattern_even,512,475,435.00,515.00,true,0.072266
383,657277,bit_pattern_even,512,548,505.00,591.00,true,0.070313
384,665196,bit_pattern_even,512,514,473.00,556.00,true,0.003906
385,673115,bit_pattern_even,512,519,478.00,561.00,true,0.013672
