trial_id,seed,algorithm,start_value,target_value,budget,final_value,distance,attempts_used,converged,convergence_attempt
410,3246790,random-100,100,10,500,10,0,2,1,2
411,3254709,random-100,100,10,500,10,0,2,1,2
412,3262628,random-100,100,10,500,10,0,1,1,1
413,3270547,random-100,100,10,500,10,0,1,1,1
414,3278466,random-100,100,10,500,10,0,1,1,1
415,3286385,random-100,100,10,500,10,0,1,1,1
416,3294304,random-100,100,10,500,10,0,1,1,1
417,3302223,random-100,100,10,500,10,0,1,1,1
418,3310142,random-100,100,10,500,10,0,1,1,1
419,3318061,random-100,100,10,500,10,0,1,1,1
420,3325980,random-100,100,10,500,10,0,1,1,1
421,3333899,random-100,100,10,500,10,0,1,1,1
422,3341818,random-100,100,10,500,10,0,2,1,2
423,3349737,random-100,100,10,500,10,0,2,1,2
424,3357656,random-100,100,10,500,10,0,1,1,1
425,3365575,random-100,100,10,500,10,0,2,1,2
426,3373494,random-100,100,10,500,10,0,1,1,1
427,3381413,random-100,100,10,500,10,0,1,1,1
428,3389332,random-100,100,10,500,10,0,1,1,1
429,3397251,random-100,100,10,500,10,0,2,1,2
430,3405170,random-100,100,10,500,10,0,2,1,2
431,3413089,random-100,100,10,500,10,0,1,1,1
432,3421008,random-100,100,10,500,10,0,1,1,1
433,3428927,random-100,100,10,500,10,0,1,1,1
434,3436846,random-100,100,10,500,10,0,1,1,1
435,3444765,random-100,100,10,500,10,0,1,1,1
436,3452684,random-100,100,10,500,10,0,1,1,1
437,3460603,random-100,100,10,500,10,0,1,1,1
438,3468522,random-100,100,10,500,10,0,1,1,1
439,3476441,random-100,100,10,500,10,0,1,1,1
440,3484360,random-100,100,10,500,10,0,1,1,1
441,3492279,random-100,100,10,500,10,0,2,1,2
442,3500198,random-100,100,10,500,10,0,1,1,1
443,3508117,random-100,100,10,500,10,0,1,1,1
444,3516036,random-100,100,10,500,10,0,1,1,1
445,3523955,random-100,100,10,500,10,0,2,1,2
446,3531874,random-100,100,10,500,10,0,2,1,2
447,3539793,random-100,100,10,500,10,0,1,1,1
448,3547712,random-100,100,10,500,10,0,1,1,1
449,3555631,random-100,100,10,500,10,0,2,1,2
450,3563550,random-100,100,10,500,10,0,1,1,1
451,3571469,random-100,100,10,500,10,0,1,1,1
452,3579388,random-100,100,10,500,10,0,1,1,1
453,3587307,random-100,100,10,500,10,0,2,1,2
454,3595226,random-100,100,10,500,10,0,1,1,1
455,3603145,random-100,100,10,500,10,0,1,1,1
456,3611064,random-100,100,10,500,10,0,2,1,2
457,3618983,random-100,100,10,500,10,0,1,1,1
458,3626902,random-100,100,10,500,10,0,1,1,1
459,3634821,random-100,100,10,500,10,0,2,1,2
460,3642740,random-100,100,10,500,10,0,1,1,1
461,3650659,random-100,100,10,500,10,0,2,1,2
462,3658578,random-100,100,10,500,10,0,1,1,1
463,3666497,random-100,100,10,500,10,0,1,1,1
464,3674416,random-100,100,10,500,10,0,1,1,1
465,3682335,random-100,100,10,500,10,0,1,1,1
466,3690254,random-100,100,10,500,10,0,1,1,1
467,3698173,random-100,100,10,500,10,0,1,1,1
468,3706092,random-100,100,10,500,10,0,1,1,1
469,3714011,random-100,100,10,500,10,0,1,1,1
470,3721930,random-100,100,10,500,10,0,1,1,1
471,3729849,random-100,100,10,500,10,0,1,1,1
472,3737768,random-100,100,10,500,10,0,2,1,2
473,3745687,random-100,100,10,500,10,0,1,1,1
474,3753606,random-100,100,10,500,10,0,1,1,1
475,3761525,random-100,100,10,500,10,0,1,1,1
476,3769444,random-100,100,10,500,10,0,2,1,2
477,3777363,random-100,100,10,500,10,0,2,1,2
478,3785282,random-100,100,10,500,10,0,1,1,1
479,3793201,random-100,100,10,500,10,0,2,1,2
480,3801120,random-100,100,10,500,10,0,1,1,1
481,3809039,random-100,100,10,500,10,0,1,1,1
482,3816958,random-100,100,10,500,10,0,1,1,1
483,3824877,random-100,100,10,500,10,0,2,1,2
484,3832796,random-100,100,10,500,10,0,1,1,1
485,3840715,random-100,100,10,500,10,0,1,1,1
486,3848634,random-100,100,10,500,10,0,2,1,2
487,3856553,random-100,100,10,500,10,0,1,1,1
488,3864472,random-100,100,10,500,10,0,1,1,1
489,3872391,random-100,100,10,500,10,0,2,1,2
490,3880310,random-100,100,10,500,10,0,2,1,2
491,3888229,random-100,100,10,500,10,0,2,1,2
492,3896148,random-100,100,10,500,10,0,1,1,1
493,3904067,random-100,100,10,500,10,0,1,1,1
494,3911986,random-100,100,10,500,10,0,1,1,1
495,3919905,random-100,100,10,500,10,0,2,1,2
496,3927824,random-100,100,10,500,10,0,1,1,1
497,3935743,random-100,100,10,500,10,0,1,1,1
498,3943662,random-100,100,10,500,10,0,2,1,2
499,3951581,random-100,100,10,500,10,0,1,1,1
500,3959500,random-100,10000,10,20,10,0,3,1,3
501,3967419,random-100,10000,10,20,10,0,3,1,3
502,3975338,random-100,10000,10,20,10,0,3,1,3
503,3983257,random-100,10000,10,20,10,0,3,1,3
504,3991176,random-100,10000,10,20,10,0,3,1,3
505,3999095,random-100,10000,10,20,10,0,2,1,2
506,4007014,random-100,10000,10,20,10,0,3,1,3
507,4014933,random-100,10000,10,20,10,0,3,1,3
508,4022852,random-100,10000,10,20,10,0,3,1,3
509,4030771,random-100,10000,10,20,10,0,4,1,4
510,4038690,random-100,10000,10,20,10,0,3,1,3
511,4046609,random-100,10000,10,20,10,0,3,1,3
512,4054528,random-100,10000,10,20,10,0,4,1,4
513,4062447,random-100,10000,10,20,10,0,3,1,3
514,4070366,random-100,10000,10,20,10,0,3,1,3
515,4078285,random-100,10000,10,20,10,0,4,1,4
516,4086204,random-100,10000,10,20,10,0,4,1,4
517,4094123,random-100,10000,10,20,10,0,3,1,3
518,4102042,random-100,10000,10,20,10,0,3,1,3
519,4109961,random-100,10000,10,20,10,0,3,1,3
520,4117880,random-100,10000,10,20,10,0,4,1,4
521,4125799,random-100,10000,10,20,10,0,3,1,3
522,4133718,random-100,10000,10,20,10,0,3,1,3
523,4141637,random-100,10000,10,20,10,0,3,1,3
524,4149556,random-100,10000,10,20,10,0,2,1,2
525,4157475,random-100,10000,10,20,10,0,3,1,3
526,4165394,random-100,10000,10,20,10,0,4,1,4
527,4173313,random-100,10000,10,20,10,0,4,1,4
528,4181232,random-100,10000,10,20,10,0,3,1,3
529,4189151,random-100,10000,10,20,10,0,4,1,4
530,4197070,random-100,10000,10,20,10,0,2,1,2
531,4204989,random-100,10000,10,20,10,0,2,1,2
