trial_id,seed,depth,explorer,total_tests,quantifier_index,unique_values,expected_unique,detection_rate
243,1924317,3,nested,1000,2,9,9,0.000008999991000009
244,1932236,3,nested,1000,0,9,9,0.000008999991000009
244,1932236,3,nested,1000,1,9,9,0.000008999991000009
244,1932236,3,nested,1000,2,9,9,0.000008999991000009
245,1940155,3,nested,1000,0,9,9,0.000008999991000009
245,1940155,3,nested,1000,1,9,9,0.000008999991000009
245,1940155,3,nested,1000,2,9,9,0.000008999991000009
246,1948074,3,nested,1000,0,9,9,0.000008999991000009
246,1948074,3,nested,1000,1,9,9,0.000008999991000009
246,1948074,3,nested,1000,2,9,9,0.000008999991000009
247,1955993,3,nested,1000,0,9,9,0.000008999991000009
247,1955993,3,nested,1000,1,9,9,0.000008999991000009
247,1955993,3,nested,1000,2,9,9,0.000008999991000009
248,1963912,3,nested,1000,0,9,9,0.000008999991000009
248,1963912,3,nested,1000,1,9,9,0.000008999991000009
248,1963912,3,nested,1000,2,9,9,0.000008999991000009
249,1971831,3,nested,1000,0,9,9,0.000008999991000009
249,1971831,3,nested,1000,1,9,9,0.000008999991000009
249,1971831,3,nested,1000,2,9,9,0.000008999991000009
250,1979750,3,flat,1000,0,999,1000,0.000998999001000999
250,1979750,3,flat,1000,1,999,1000,0.000998999001000999
250,1979750,3,flat,1000,2,1000,1000,0.000999999000001
251,1987669,3,flat,1000,0,999,1000,0.000998999001000999
251,1987669,3,flat,1000,1,1000,1000,0.000999999000001
251,1987669,3,flat,1000,2,1000,1000,0.000999999000001
252,1995588,3,flat,1000,0,999,1000,0.000998999001000999
252,1995588,3,flat,1000,1,999,1000,0.000998999001000999
252,1995588,3,flat,1000,2,999,1000,0.000998999001000999
253,2003507,3,flat,1000,0,999,1000,0.000998999001000999
253,2003507,3,flat,1000,1,999,1000,0.000998999001000999
253,2003507,3,flat,1000,2,1000,1000,0.000999999000001
254,2011426,3,flat,1000,0,999,1000,0.000998999001000999
254,2011426,3,flat,1000,1,999,1000,0.000998999001000999
254,2011426,3,flat,1000,2,1000,1000,0.000999999000001
255,2019345,3,flat,1000,0,1000,1000,0.000999999000001
255,2019345,3,flat,1000,1,1000,1000,0.000999999000001
255,2019345,3,flat,1000,2,999,1000,0.000998999001000999
256,2027264,3,flat,1000,0,1000,1000,0.000999999000001
256,2027264,3,flat,1000,1,1000,1000,0.000999999000001
256,2027264,3,flat,1000,2,1000,1000,0.000999999000001
257,2035183,3,flat,1000,0,998,1000,0.000997999002000998
