trial_id,seed,pass_rate,sample_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error
34,269246,0.01,100,10,11,9.00,14.00,5.00,true,0.100000
34,269246,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
34,269246,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
35,277165,0.01,1,10,17,10.00,27.00,17.00,true,0.700000
35,277165,0.01,5,10,17,11.00,26.00,15.00,false,0.700000
35,277165,0.01,10,10,14,9.00,20.00,11.00,true,0.400000
35,277165,0.01,25,10,16,11.00,21.00,10.00,false,0.600000
35,277165,0.01,50,10,12,9.00,15.00,6.00,true,0.200000
35,277165,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
35,277165,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
35,277165,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
36,285084,0.01,1,10,17,10.00,28.00,18.00,true,0.700000
36,285084,0.01,5,10,13,9.00,21.00,12.00,true,0.300000
36,285084,0.01,10,10,11,7.00,16.00,9.00,true,0.100000
36,285084,0.01,25,10,10,7.00,13.00,6.00,true,0.000000
36,285084,0.01,50,10,10,8.00,13.00,5.00,true,0.000000
36,285084,0.01,100,10,10,8.00,12.00,4.00,true,0.000000
36,285084,0.01,200,10,10,8.00,11.00,3.00,true,0.000000
36,285084,0.01,500,10,10,9.00,12.00,3.00,true,0.000000
37,293003,0.01,1,10,16,10.00,27.00,17.00,true,0.600000
37,293003,0.01,5,10,15,9.00,23.00,14.00,true,0.500000
37,293003,0.01,10,10,16,11.00,23.00,12.00,false,0.600000
37,293003,0.01,25,10,12,9.00,16.00,7.00,true,0.200000
37,293003,0.01,50,10,11,8.00,14.00,6.00,true,0.100000
37,293003,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
37,293003,0.01,200,10,10,9.00,12.00,3.00,true,0.000000
37,293003,0.01,500,10,10,9.00,11.00,2.00,true,0.000000
38,300922,0.01,1,10,13,8.00,22.00,14.00,true,0.300000
38,300922,0.01,5,10,10,6.00,15.00,9.00,true,0.000000
38,300922,0.01,10,10,8,5.00,13.00,8.00,true,0.200000
38,300922,0.01,25,10,9,7.00,13.00,6.00,true,0.100000
38,300922,0.01,50,10,9,7.00,11.00,4.00,true,0.100000
38,300922,0.01,100,10,11,9.00,13.00,4.00,true,0.100000
38,300922,0.01,200,10,9,8.00,11.00,3.00,true,0.100000
