trial_id,seed,scenario,approach,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value,shrink_candidates_tested,shrink_improvements_made
332,55433,moderate,double_negation,0.1,100,true,2,15,335360,0,0
333,63352,moderate,double_negation,0.1,100,true,7,19,209710,0,0
334,71271,moderate,double_negation,0.1,100,true,7,18,938390,0,0
335,79190,moderate,double_negation,0.1,100,true,12,22,822310,0,0
336,87109,moderate,double_negation,0.1,100,true,4,16,121500,0,0
337,95028,moderate,double_negation,0.1,100,true,5,17,902230,0,0
338,102947,moderate,double_negation,0.1,100,true,5,17,732950,0,0
339,110866,moderate,double_negation,0.1,100,true,21,29,567210,0,0
340,118785,moderate,double_negation,0.1,100,true,4,17,677810,0,0
341,126704,moderate,double_negation,0.1,100,true,19,35,12860,0,0
342,134623,moderate,double_negation,0.1,100,true,1,134,27700,0,0
343,142542,moderate,double_negation,0.1,100,true,3,21,935240,0,0
344,150461,moderate,double_negation,0.1,100,true,11,32,670910,0,0
345,158380,moderate,double_negation,0.1,100,true,1,15,965740,0,0
346,166299,moderate,double_negation,0.1,100,true,1,15,301620,0,0
347,174218,moderate,double_negation,0.1,100,true,7,19,203120,0,0
348,182137,moderate,double_negation,0.1,100,true,17,27,224160,0,0
349,190056,moderate,double_negation,0.1,100,true,13,23,837070,0,0
350,0,moderate,first_class,0.1,200,true,1,18,266430,0,0
351,7919,moderate,first_class,0.1,200,true,1,15,690100,0,0
352,15838,moderate,first_class,0.1,200,true,15,33,113100,0,0
353,23757,moderate,first_class,0.1,200,true,1,15,950930,0,0
354,31676,moderate,first_class,0.1,200,true,1,14,89290,0,0
355,39595,moderate,first_class,0.1,200,true,5,17,335710,0,0
356,47514,moderate,first_class,0.1,200,true,18,27,901710,0,0
357,55433,moderate,first_class,0.1,200,true,2,18,335360,0,0
358,63352,moderate,first_class,0.1,200,true,7,29,209710,0,0
359,71271,moderate,first_class,0.1,200,true,7,19,938390,0,0
360,79190,moderate,first_class,0.1,200,true,12,29,822310,0,0
361,87109,moderate,first_class,0.1,200,true,4,17,121500,0,0
362,95028,moderate,first_class,0.1,200,true,5,17,902230,0,0
363,102947,moderate,first_class,0.1,200,true,5,17,732950,0,0
364,110866,moderate,first_class,0.1,200,true,21,29,567210,0,0
365,118785,moderate,first_class,0.1,200,true,4,17,677810,0,0
366,126704,moderate,first_class,0.1,200,true,19,27,12860,0,0
367,134623,moderate,first_class,0.1,200,true,1,14,27700,0,0
