trial_id,seed,scenario,pass_rate,base_size,true_size,samples_taken,terminated,termination_reason,estimated_size,ci_lower,ci_upper,inv95_at_termination,base_size_used,termination_condition_value,false_termination
221,1750099,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
222,1758018,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
223,1765937,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
224,1773856,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
225,1781775,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
226,1789694,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
227,1797613,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
228,1805532,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
229,1813451,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
230,1821370,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
231,1829289,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
232,1837208,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
233,1845127,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
234,1853046,true_size_0,0,100,0,0,true,ci_upper_below_1,0,0.0000,1.0000,0.010000,100,1.0000,false
