trial_id,seed,arbitrary_type,sampler_type,requested_count,actual_count,unique_count,termination_guard_triggered,elapsed_micros
459,467221,exact,deduping,100,96,96,true,22
460,475140,exact,deduping,100,100,100,false,21
461,483059,exact,deduping,100,97,97,true,23
462,490978,exact,deduping,100,90,90,true,19
463,498897,exact,deduping,100,98,98,true,37
464,506816,exact,deduping,100,98,98,true,27
465,514735,exact,deduping,100,98,98,true,25
466,522654,exact,deduping,100,95,95,true,23
467,530573,exact,deduping,100,99,99,true,28
468,538492,exact,deduping,100,95,95,true,29
469,546411,exact,deduping,100,97,97,true,35
470,554330,exact,deduping,100,98,98,true,26
471,562249,exact,deduping,100,98,98,true,25
472,570168,exact,deduping,100,99,99,true,25
473,578087,exact,deduping,100,98,98,true,27
474,586006,exact,deduping,100,96,96,true,24
475,593925,exact,deduping,100,98,98,true,29
476,601844,exact,deduping,100,96,96,true,28
477,609763,exact,deduping,100,98,98,true,26
478,617682,exact,deduping,100,97,97,true,27
479,625601,exact,deduping,100,99,99,true,24
480,633520,exact,deduping,100,98,98,true,26
481,641439,exact,deduping,100,97,97,true,24
482,649358,exact,deduping,100,99,99,true,38
483,657277,exact,deduping,100,98,98,true,26
484,665196,exact,deduping,100,97,97,true,23
485,673115,exact,deduping,100,97,97,true,26
486,681034,exact,deduping,100,92,92,true,19
487,688953,exact,deduping,100,99,99,true,23
488,696872,exact,deduping,100,100,100,false,38
489,704791,exact,deduping,100,95,95,true,37
490,712710,exact,deduping,100,100,100,false,25
491,720629,exact,deduping,100,96,96,true,22
492,728548,exact,deduping,100,98,98,true,30
493,736467,exact,deduping,100,99,99,true,32
494,744386,exact,deduping,100,99,99,true,25
495,752305,exact,deduping,100,99,99,true,36
496,760224,exact,deduping,100,98,98,true,26
497,768143,exact,deduping,100,99,99,true,24
498,776062,exact,deduping,100,98,98,true,27
499,783981,exact,deduping,100,95,95,true,22
500,791900,exact,deduping,100,99,99,true,29
501,799819,exact,deduping,100,99,99,true,34
502,807738,exact,deduping,100,96,96,true,22
503,815657,exact,deduping,100,92,92,true,22
504,823576,exact,deduping,100,96,96,true,22
505,831495,exact,deduping,100,97,97,true,31
506,839414,exact,deduping,100,99,99,true,27
507,847333,exact,deduping,100,100,100,false,37
508,855252,exact,deduping,100,98,98,true,25
509,863171,exact,deduping,100,97,97,true,24
510,871090,exact,deduping,100,99,99,true,84
511,879009,exact,deduping,100,99,99,true,32
512,886928,exact,deduping,100,99,99,true,27
513,894847,exact,deduping,100,96,96,true,255
514,902766,exact,deduping,100,96,96,true,22
515,910685,exact,deduping,100,96,96,true,22
516,918604,exact,deduping,100,97,97,true,29
517,926523,exact,deduping,100,97,97,true,22
518,934442,exact,deduping,100,96,96,true,22
519,942361,exact,deduping,100,100,100,false,24
520,950280,exact,deduping,100,100,100,false,20
521,958199,exact,deduping,100,99,99,true,27
522,966118,exact,deduping,100,100,100,false,27
523,974037,exact,deduping,100,100,100,false,27
524,981956,exact,deduping,100,97,97,true,32
525,989875,exact,deduping,100,96,96,true,23
526,997794,exact,deduping,100,99,99,true,26
527,1005713,exact,deduping,100,97,97,true,26
528,1013632,exact,deduping,100,96,96,true,20
529,1021551,exact,deduping,100,91,91,true,17
530,1029470,exact,deduping,100,97,97,true,23
531,1037389,exact,deduping,100,99,99,true,26
532,1045308,exact,deduping,100,92,92,true,16
533,1053227,exact,deduping,100,97,97,true,22
534,1061146,exact,deduping,100,99,99,true,22
535,1069065,exact,deduping,100,99,99,true,20
536,1076984,exact,deduping,100,99,99,true,22
537,1084903,exact,deduping,100,94,94,true,19
538,1092822,exact,deduping,100,97,97,true,22
539,1100741,exact,deduping,100,90,90,true,16
540,1108660,exact,deduping,100,98,98,true,28
541,1116579,exact,deduping,100,96,96,true,25
542,1124498,exact,deduping,100,96,96,true,21
543,1132417,exact,deduping,100,98,98,true,20
544,1140336,exact,deduping,100,98,98,true,20
545,1148255,exact,deduping,100,98,98,true,25
546,1156174,exact,deduping,100,95,95,true,19
547,1164093,exact,deduping,100,95,95,true,20
548,1172012,exact,deduping,100,99,99,true,19
549,1179931,exact,deduping,100,98,98,true,22
550,1187850,exact,deduping,100,97,97,true,22
551,1195769,exact,deduping,100,98,98,true,24
552,1203688,exact,deduping,100,99,99,true,21
553,1211607,exact,deduping,100,97,97,true,23
554,1219526,exact,deduping,100,98,98,true,25
555,1227445,exact,deduping,100,98,98,true,20
556,1235364,exact,deduping,100,92,92,true,21
557,1243283,exact,deduping,100,96,96,true,22
558,1251202,exact,deduping,100,100,100,false,25
559,1259121,exact,deduping,100,97,97,true,20
560,1267040,exact,deduping,100,94,94,true,20
561,1274959,exact,deduping,100,100,100,false,23
562,1282878,exact,deduping,100,97,97,true,22
563,1290797,exact,deduping,100,93,93,true,18
564,1298716,exact,deduping,100,97,97,true,22
565,1306635,exact,deduping,100,100,100,false,24
566,1314554,exact,deduping,100,94,94,true,19
567,1322473,exact,deduping,100,90,90,true,18
568,1330392,exact,deduping,100,98,98,true,24
569,1338311,exact,deduping,100,99,99,true,22
570,1346230,exact,deduping,100,99,99,true,24
571,1354149,exact,deduping,100,96,96,true,27
572,1362068,exact,deduping,100,99,99,true,26
573,1369987,exact,deduping,100,96,96,true,20
574,1377906,exact,deduping,100,100,100,false,21
575,1385825,exact,deduping,100,99,99,true,22
576,1393744,exact,deduping,100,99,99,true,24
577,1401663,exact,deduping,100,97,97,true,21
578,1409582,exact,deduping,100,99,99,true,23
579,1417501,exact,deduping,100,98,98,true,24
580,1425420,exact,deduping,100,98,98,true,26
581,1433339,exact,deduping,100,99,99,true,24
582,1441258,exact,deduping,100,96,96,true,22
583,1449177,exact,deduping,100,97,97,true,23
584,1457096,exact,deduping,100,100,100,false,23
585,1465015,exact,deduping,100,98,98,true,25
586,1472934,exact,deduping,100,98,98,true,45
587,1480853,exact,deduping,100,97,97,true,19
588,1488772,exact,deduping,100,98,98,true,21
589,1496691,exact,deduping,100,98,98,true,19
590,1504610,exact,deduping,100,99,99,true,20
591,1512529,exact,deduping,100,97,97,true,20
592,1520448,exact,deduping,100,99,99,true,23
593,1528367,exact,deduping,100,99,99,true,20
594,1536286,exact,deduping,100,96,96,true,19
595,1544205,exact,deduping,100,100,100,false,18
596,1552124,exact,deduping,100,99,99,true,19
597,1560043,exact,deduping,100,97,97,true,14
598,1567962,exact,deduping,100,94,94,true,16
599,1575881,exact,deduping,100,98,98,true,21
600,0,exact,deduping,500,96,96,true,17
601,7919,exact,deduping,500,100,100,true,22
602,15838,exact,deduping,500,97,97,true,21
603,23757,exact,deduping,500,95,95,true,16
604,31676,exact,deduping,500,98,98,true,19
605,39595,exact,deduping,500,98,98,true,19
606,47514,exact,deduping,500,92,92,true,16
607,55433,exact,deduping,500,97,97,true,18
608,63352,exact,deduping,500,100,100,true,19
609,71271,exact,deduping,500,96,96,true,18
610,79190,exact,deduping,500,100,100,true,20
611,87109,exact,deduping,500,94,94,true,16
612,95028,exact,deduping,500,94,94,true,15
613,102947,exact,deduping,500,97,97,true,16
