trial_id,seed,length_distribution,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
599,4743481,uniform,single,true,14,14,2
600,4751400,uniform,single,true,3,3,0
601,4759319,uniform,single,true,6,6,0
602,4767238,uniform,single,true,1,1,0
603,4775157,uniform,single,true,17,17,2
604,4783076,uniform,single,true,11,11,1
605,4790995,uniform,single,true,22,22,3
606,4798914,uniform,single,true,7,7,1
607,4806833,uniform,single,true,16,16,5
608,4814752,uniform,single,true,5,5,0
609,4822671,uniform,single,true,1,1,0
610,4830590,uniform,single,true,20,20,2
611,4838509,uniform,single,true,1,1,0
612,4846428,uniform,single,true,8,8,1
613,4854347,uniform,single,true,17,17,2
614,4862266,uniform,single,true,3,3,0
615,4870185,uniform,single,true,11,11,1
616,4878104,uniform,single,true,3,3,0
617,4886023,uniform,single,true,5,5,0
618,4893942,uniform,single,true,13,13,1
619,4901861,uniform,single,true,9,9,1
620,4909780,uniform,single,true,8,8,1
621,4917699,uniform,single,true,3,3,0
622,4925618,uniform,single,true,4,4,0
623,4933537,uniform,single,true,9,9,1
624,4941456,uniform,single,true,2,2,0
625,4949375,uniform,single,true,33,33,5
626,4957294,uniform,single,true,8,8,1
627,4965213,uniform,single,true,5,5,0
628,4973132,uniform,single,true,2,2,0
629,4981051,uniform,single,true,15,15,1
630,4988970,uniform,single,true,13,13,1
631,4996889,uniform,single,true,8,8,1
632,5004808,uniform,single,true,1,1,0
633,5012727,uniform,single,true,16,16,2
634,5020646,uniform,single,true,20,20,2
635,5028565,uniform,single,true,25,25,6
636,5036484,uniform,single,true,6,6,4
637,5044403,uniform,single,true,10,10,1
638,5052322,uniform,single,true,21,21,2
639,5060241,uniform,single,true,22,22,3
640,5068160,uniform,single,true,4,4,0
641,5076079,uniform,single,true,9,9,1
642,5083998,uniform,single,true,4,4,0
643,5091917,uniform,single,true,2,2,0
644,5099836,uniform,single,true,2,2,0
645,5107755,uniform,single,true,11,11,2
646,5115674,uniform,single,true,6,6,0
647,5123593,uniform,single,true,7,7,1
648,5131512,uniform,single,true,28,28,3
649,5139431,uniform,single,true,2,2,0
650,5147350,uniform,single,true,10,10,1
651,5155269,uniform,single,true,10,10,1
652,5163188,uniform,single,true,10,10,1
653,5171107,uniform,single,true,18,18,2
654,5179026,uniform,single,true,5,5,0
655,5186945,uniform,single,true,11,11,1
656,5194864,uniform,single,true,7,7,1
657,5202783,uniform,single,true,18,18,2
658,5210702,uniform,single,true,20,20,5
659,5218621,uniform,single,true,4,4,0
660,5226540,uniform,single,true,26,26,4
661,5234459,uniform,single,true,31,31,4
662,5242378,uniform,single,true,10,10,1
663,5250297,uniform,single,true,8,8,1
664,5258216,uniform,single,true,3,3,0
665,5266135,uniform,single,true,13,13,1
666,5274054,uniform,single,true,3,3,0
667,5281973,uniform,single,true,21,21,5
668,5289892,uniform,single,true,14,14,2
