trial_id,implementation,seed,chain_depth,filter_pass_rate,composite_pass_rate,estimated_size,actual_distinct_values,credible_interval_lower,credible_interval_upper,true_value_in_ci,relative_error,elapsed_micros
196,legacy,1552124,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11827
197,legacy,1560043,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11848
198,legacy,1567962,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11769
199,legacy,1575881,1,0.50,0.5000,1000,463,1000,1000,false,1.159827,11656
200,legacy,1583800,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4707
201,legacy,1591719,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4937
202,legacy,1599638,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4757
203,legacy,1607557,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,5000
204,legacy,1615476,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4734
205,legacy,1623395,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4875
206,legacy,1631314,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4646
207,legacy,1639233,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4757
208,legacy,1647152,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4727
209,legacy,1655071,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4874
210,legacy,1662990,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4641
211,legacy,1670909,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4799
212,legacy,1678828,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4614
213,legacy,1686747,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4846
214,legacy,1694666,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4726
215,legacy,1702585,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4905
216,legacy,1710504,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4733
217,legacy,1718423,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4828
218,legacy,1726342,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4715
219,legacy,1734261,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4846
220,legacy,1742180,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4708
221,legacy,1750099,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4840
222,legacy,1758018,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4676
223,legacy,1765937,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4776
224,legacy,1773856,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4629
225,legacy,1781775,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4612
226,legacy,1789694,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4854
227,legacy,1797613,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4619
228,legacy,1805532,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4908
229,legacy,1813451,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4766
230,legacy,1821370,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4833
231,legacy,1829289,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4866
232,legacy,1837208,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4913
233,legacy,1845127,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4576
234,legacy,1853046,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4757
235,legacy,1860965,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4703
236,legacy,1868884,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4867
237,legacy,1876803,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4657
238,legacy,1884722,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4864
239,legacy,1892641,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4787
240,legacy,1900560,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4788
241,legacy,1908479,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4595
242,legacy,1916398,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,5054
243,legacy,1924317,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4777
244,legacy,1932236,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4982
245,legacy,1940155,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4770
246,legacy,1948074,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4869
247,legacy,1955993,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4652
248,legacy,1963912,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4861
249,legacy,1971831,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4670
250,legacy,1979750,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4894
251,legacy,1987669,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4767
252,legacy,1995588,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4869
253,legacy,2003507,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4783
254,legacy,2011426,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4734
255,legacy,2019345,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4802
256,legacy,2027264,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4791
257,legacy,2035183,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4767
258,legacy,2043102,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4845
259,legacy,2051021,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4965
260,legacy,2058940,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4700
261,legacy,2066859,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4930
262,legacy,2074778,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4674
263,legacy,2082697,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4909
264,legacy,2090616,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4677
265,legacy,2098535,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4822
266,legacy,2106454,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4739
267,legacy,2114373,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4804
268,legacy,2122292,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4667
269,legacy,2130211,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4743
270,legacy,2138130,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4664
271,legacy,2146049,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4790
272,legacy,2153968,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4749
273,legacy,2161887,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4910
274,legacy,2169806,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4938
275,legacy,2177725,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4823
276,legacy,2185644,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4781
277,legacy,2193563,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4716
278,legacy,2201482,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4906
279,legacy,2209401,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4866
280,legacy,2217320,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4672
281,legacy,2225239,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4763
282,legacy,2233158,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4674
283,legacy,2241077,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4681
284,legacy,2248996,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,5043
285,legacy,2256915,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4635
286,legacy,2264834,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4694
287,legacy,2272753,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4708
288,legacy,2280672,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4846
289,legacy,2288591,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4680
290,legacy,2296510,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4794
291,legacy,2304429,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4724
292,legacy,2312348,1,0.70,0.7000,1000,676,1000,1000,false,0.479290,4745
