trial_id,seed,sampler_type,bug_type,bug_detected,tests_to_detection,tests_run,elapsed_micros
593,736467,random,boundary_min,true,20,20,29
594,744386,random,boundary_min,true,12,12,22
595,752305,random,boundary_min,false,,100,97
596,760224,random,boundary_min,false,,100,97
597,768143,random,boundary_min,true,63,63,65
598,776062,random,boundary_min,false,,100,97
599,783981,random,boundary_min,true,64,64,68
600,791900,random,boundary_min,false,,100,97
601,799819,random,boundary_min,true,95,95,92
602,807738,random,boundary_min,true,32,32,39
603,815657,random,boundary_min,true,11,11,21
604,823576,random,boundary_min,false,,100,181
605,831495,random,boundary_min,true,54,54,58
606,839414,random,boundary_min,false,,100,97
607,847333,random,boundary_min,false,,100,97
608,855252,random,boundary_min,true,57,57,60
609,863171,random,boundary_min,false,,100,99
610,871090,random,boundary_min,false,,100,96
611,879009,random,boundary_min,true,9,9,19
612,886928,random,boundary_min,false,,100,115
613,894847,random,boundary_min,true,89,89,87
614,902766,random,boundary_min,true,92,92,90
615,910685,random,boundary_min,true,74,74,92
