trial_id,seed,scenario,witness_density,sample_size,witness_found,tests_run,elapsed_micros,witness_value
484,3832796,moderate,0.1,100,true,13,19,"{""x"":619920}"
485,3840715,moderate,0.1,100,true,10,18,"{""x"":935150}"
486,3848634,moderate,0.1,100,true,24,25,"{""x"":507200}"
487,3856553,moderate,0.1,100,true,18,28,"{""x"":957140}"
488,3864472,moderate,0.1,100,true,3,14,"{""x"":480890}"
489,3872391,moderate,0.1,100,true,1,12,"{""x"":994060}"
490,3880310,moderate,0.1,100,true,11,18,"{""x"":432000}"
491,3888229,moderate,0.1,100,true,8,16,"{""x"":871090}"
492,3896148,moderate,0.1,100,true,22,24,"{""x"":328810}"
493,3904067,moderate,0.1,100,true,1,13,"{""x"":91800}"
494,3911986,moderate,0.1,100,true,2,13,"{""x"":223650}"
