trial_id,seed,prior_alpha,prior_beta,prior_name,pass_rate,warmup_count,true_size,estimated_size,ci_lower,ci_upper,ci_width,true_in_ci,relative_error,bias,posterior_alpha,posterior_beta
114,110866,2,1,"Beta(2,1)_current",0.01,25,10,12,9.00,17.00,8.00,true,0.200000,2.00,27.00,2094.00
115,118785,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,12.00,6.00,true,0.100000,-1.00,27.00,3021.00
116,126704,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2427.00
117,134623,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2176.00
118,142542,2,1,"Beta(2,1)_current",0.01,25,10,7,5.00,10.00,5.00,true,0.300000,-3.00,27.00,3690.00
119,150461,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2251.00
120,158380,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2529.00
121,166299,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2671.00
122,174218,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2583.00
123,182137,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2298.00
124,190056,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1864.00
125,197975,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,2028.00
126,205894,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,2009.00
127,213813,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2929.00
128,221732,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2465.00
129,229651,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2134.00
130,237570,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2203.00
131,245489,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2151.00
132,253408,2,1,"Beta(2,1)_current",0.01,25,10,12,9.00,18.00,9.00,true,0.200000,2.00,27.00,2058.00
133,261327,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,2000.00
134,269246,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2404.00
135,277165,2,1,"Beta(2,1)_current",0.01,25,10,16,11.00,23.00,12.00,false,0.600000,6.00,27.00,1587.00
136,285084,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,12.00,6.00,true,0.100000,-1.00,27.00,2987.00
137,293003,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2307.00
138,300922,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3103.00
139,308841,2,1,"Beta(2,1)_current",0.01,25,10,15,10.00,21.00,11.00,true,0.500000,5.00,27.00,1721.00
140,316760,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2504.00
141,324679,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2693.00
142,332598,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2927.00
143,340517,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2355.00
144,348436,2,1,"Beta(2,1)_current",0.01,25,10,7,5.00,11.00,6.00,true,0.300000,-3.00,27.00,3515.00
145,356355,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,1983.00
146,364274,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2346.00
147,372193,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,12.00,6.00,true,0.100000,-1.00,27.00,2989.00
148,380112,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2239.00
149,388031,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,1995.00
150,395950,2,1,"Beta(2,1)_current",0.01,25,10,13,9.00,18.00,9.00,true,0.300000,3.00,27.00,1998.00
151,403869,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2633.00
152,411788,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1799.00
153,419707,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2533.00
154,427626,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3049.00
155,435545,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,16.00,8.00,true,0.200000,2.00,27.00,2233.00
156,443464,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2650.00
157,451383,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2259.00
158,459302,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2182.00
159,467221,2,1,"Beta(2,1)_current",0.01,25,10,15,11.00,22.00,11.00,false,0.500000,5.00,27.00,1680.00
160,475140,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,15.00,8.00,true,0.000000,0.00,27.00,2456.00
161,483059,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2214.00
162,490978,2,1,"Beta(2,1)_current",0.01,25,10,7,5.00,10.00,5.00,true,0.300000,-3.00,27.00,3711.00
163,498897,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2763.00
164,506816,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3059.00
165,514735,2,1,"Beta(2,1)_current",0.01,25,10,16,11.00,22.00,11.00,false,0.600000,6.00,27.00,1637.00
166,522654,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,12.00,6.00,true,0.100000,-1.00,27.00,2976.00
167,530573,2,1,"Beta(2,1)_current",0.01,25,10,12,9.00,18.00,9.00,true,0.200000,2.00,27.00,2063.00
168,538492,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2859.00
169,546411,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3131.00
170,554330,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2670.00
171,562249,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,21.00,11.00,true,0.400000,4.00,27.00,1772.00
172,570168,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2813.00
173,578087,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2290.00
174,586006,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1853.00
175,593925,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2406.00
176,601844,2,1,"Beta(2,1)_current",0.01,25,10,8,6.00,12.00,6.00,true,0.200000,-2.00,27.00,3126.00
177,609763,2,1,"Beta(2,1)_current",0.01,25,10,11,8.00,16.00,8.00,true,0.100000,1.00,27.00,2265.00
178,617682,2,1,"Beta(2,1)_current",0.01,25,10,14,10.00,20.00,10.00,true,0.400000,4.00,27.00,1851.00
179,625601,2,1,"Beta(2,1)_current",0.01,25,10,15,11.00,21.00,10.00,false,0.500000,5.00,27.00,1704.00
180,633520,2,1,"Beta(2,1)_current",0.01,25,10,12,8.00,17.00,9.00,true,0.200000,2.00,27.00,2222.00
181,641439,2,1,"Beta(2,1)_current",0.01,25,10,15,10.00,21.00,11.00,true,0.500000,5.00,27.00,1757.00
182,649358,2,1,"Beta(2,1)_current",0.01,25,10,11,7.00,15.00,8.00,true,0.100000,1.00,27.00,2446.00
183,657277,2,1,"Beta(2,1)_current",0.01,25,10,10,7.00,14.00,7.00,true,0.000000,0.00,27.00,2556.00
184,665196,2,1,"Beta(2,1)_current",0.01,25,10,9,6.00,13.00,7.00,true,0.100000,-1.00,27.00,2755.00
